major,school,degree_level,academic_year,plan_status,requirement_group,course_code,course_title,course_type,credit_hours,prerequisites,source_page,source
Architectural Engineering,School of Built Environment Engineering,BSc,,current,School Requirements,50402212,Civil Engineering Drawing,,,50400472 or 50402231,5,73f333d7-5819-ed11-b847-00155d140b05_de4c2204703a4f01be2ef1b0dcbc097b.pdf
Architectural Engineering,School of Built Environment Engineering,BSc,,current,School Requirements,50402221,Principles of Off-site Construction,,,50402121,6,73f333d7-5819-ed11-b847-00155d140b05_de4c2204703a4f01be2ef1b0dcbc097b.pdf
Architectural Engineering,School of Built Environment Engineering,BSc,,current,School Requirements,50402343,Civil Engineering Technology,,,50401221,6,73f333d7-5819-ed11-b847-00155d140b05_de4c2204703a4f01be2ef1b0dcbc097b.pdf
Architectural Engineering,School of Built Environment Engineering,BSc,,current,School Requirements,50402361,Sustainable Methods for Construction,,,50401221,7,73f333d7-5819-ed11-b847-00155d140b05_de4c2204703a4f01be2ef1b0dcbc097b.pdf
Architectural Engineering,School of Built Environment Engineering,BSc,,current,School Requirements,50402511,Design and Built Workshop,,,,4,73f333d7-5819-ed11-b847-00155d140b05_de4c2204703a4f01be2ef1b0dcbc097b.pdf
Architectural Engineering,School of Built Environment Engineering,BSc,,current,School Requirements,50402512,Geographic Information system,,,50402211 Land Surveying & Remote Sensing,5,73f333d7-5819-ed11-b847-00155d140b05_de4c2204703a4f01be2ef1b0dcbc097b.pdf
Architectural Engineering,School of Built Environment Engineering,BSc,,current,School Requirements,50402521,Artificial Intelligence Applications in Construction,,,50401521 Digital Applications in BIM,3,73f333d7-5819-ed11-b847-00155d140b05_de4c2204703a4f01be2ef1b0dcbc097b.pdf
Architectural Engineering,School of Built Environment Engineering,BSc,,current,University Requirements,10301121,English Pre-Intermediate Intensive + Lab,,,10301120,1,73f333d7-5819-ed11-b847-00155d140b05_de4c2204703a4f01be2ef1b0dcbc097b.pdf
Architectural Engineering,School of Built Environment Engineering,BSc,,current,University Requirements,10301123,English Intermediate,,,10301121,1,73f333d7-5819-ed11-b847-00155d140b05_de4c2204703a4f01be2ef1b0dcbc097b.pdf
Architectural Engineering,School of Built Environment Engineering,BSc,,current,University Requirements,10301124,English Upper-Intermediate,,,10301122 or 10301123,1,73f333d7-5819-ed11-b847-00155d140b05_de4c2204703a4f01be2ef1b0dcbc097b.pdf
Architectural Engineering,School of Built Environment Engineering,BSc,,current,University Requirements,10301125,English Advanced,,,10301124,1,73f333d7-5819-ed11-b847-00155d140b05_de4c2204703a4f01be2ef1b0dcbc097b.pdf
Architectural Engineering,School of Built Environment Engineering,BSc,,current,University Requirements,40302111,Professional Skills,,,,1,73f333d7-5819-ed11-b847-00155d140b05_de4c2204703a4f01be2ef1b0dcbc097b.pdf
Architectural Engineering,School of Built Environment Engineering,BSc,,current,University Requirements,40302211,Professional Practice,,,40302111,2,73f333d7-5819-ed11-b847-00155d140b05_de4c2204703a4f01be2ef1b0dcbc097b.pdf
Architectural Engineering,School of Built Environment Engineering,BSc,,current,University Requirements,50400451,Personal Professional Development,,,Successfully completed 110 CH + Entrepreneurship bootcamp,2,73f333d7-5819-ed11-b847-00155d140b05_de4c2204703a4f01be2ef1b0dcbc097b.pdf
Architectural Engineering,School of Built Environment Engineering,Technical,,current,School Requirements,50400251,Construction Environment,,,-,4,73f333d7-5819-ed11-b847-00155d140b05_9eeab80faa5d40f1a129a13709564577.pdf
Architectural Engineering,School of Built Environment Engineering,Technical,,current,School Requirements,50400252,Tendering and Procurement,,,50400251,4,73f333d7-5819-ed11-b847-00155d140b05_9eeab80faa5d40f1a129a13709564577.pdf
Architectural Engineering,School of Built Environment Engineering,Technical,,current,School Requirements,50400253,Site Supervision & Operations,,,50400251,5,73f333d7-5819-ed11-b847-00155d140b05_9eeab80faa5d40f1a129a13709564577.pdf
Architectural Engineering,School of Built Environment Engineering,Technical,,current,School Requirements,50400254,Legal & Statutory Responsibilities in Construction,,,50400251,4,73f333d7-5819-ed11-b847-00155d140b05_9eeab80faa5d40f1a129a13709564577.pdf
Architectural Engineering,School of Built Environment Engineering,Technical,,current,School Requirements,50400351,Project Management,,,50400251,5,73f333d7-5819-ed11-b847-00155d140b05_9eeab80faa5d40f1a129a13709564577.pdf
Architectural Engineering,School of Built Environment Engineering,Technical,,current,School Requirements,50400352,Contracts & Management,,,50400252,5,73f333d7-5819-ed11-b847-00155d140b05_9eeab80faa5d40f1a129a13709564577.pdf
Architectural Engineering,School of Built Environment Engineering,Technical,,current,School Requirements,50400471,Integrated Design I,,,50401172 or CIV,5,73f333d7-5819-ed11-b847-00155d140b05_9eeab80faa5d40f1a129a13709564577.pdf
Architectural Engineering,School of Built Environment Engineering,Technical,,current,School Requirements,50400472,Integrated Design II,,,50400471,5,73f333d7-5819-ed11-b847-00155d140b05_9eeab80faa5d40f1a129a13709564577.pdf
Architectural Engineering,School of Built Environment Engineering,Technical,,current,School Requirements,50400481,Work Integrated Learning I,,,Successfully completed 96 CH + Entrepreneurship bootcamp,6,73f333d7-5819-ed11-b847-00155d140b05_9eeab80faa5d40f1a129a13709564577.pdf
Architectural Engineering,School of Built Environment Engineering,Technical,,current,School Requirements,50400482,Work Integrated Learning II,,,50400481,6,73f333d7-5819-ed11-b847-00155d140b05_9eeab80faa5d40f1a129a13709564577.pdf
Architectural Engineering,School of Built Environment Engineering,Technical,,current,School Requirements,50401111,Construction Information and Technical Drafting,,,-,3,73f333d7-5819-ed11-b847-00155d140b05_9eeab80faa5d40f1a129a13709564577.pdf
Architectural Engineering,School of Built Environment Engineering,Technical,,current,School Requirements,50401112,Architectural Communication Techniques,,,-,3,73f333d7-5819-ed11-b847-00155d140b05_9eeab80faa5d40f1a129a13709564577.pdf
Architectural Engineering,School of Built Environment Engineering,Technical,,current,School Requirements,50401113,Computer Visualizations,,,50401111,3,73f333d7-5819-ed11-b847-00155d140b05_9eeab80faa5d40f1a129a13709564577.pdf
Architectural Engineering,School of Built Environment Engineering,Technical,,current,School Requirements,50401121,Digital Applications for Construction Information,,,50401111,4,73f333d7-5819-ed11-b847-00155d140b05_9eeab80faa5d40f1a129a13709564577.pdf
